file_name,text,source,duration_seconds,remote_url
00001.wav,"Chào các bạn, chào các bạn, chào các bạn Đã khá là lâu rồi mình chưa lên video đấy đúng không?",1,4.32,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/331/audio/audio.wav?Expires=1779855900&Signature=oEvBQYgp7FBlsbD8OWHuXKvuuwUrCOAcv36PLT0szEBz1XcMmg3riCIrLjHU19wzPEFEgvg06fKOfg2FkUIkSf6vVmXDE7nEa7IhLTpoZVijN7uHCnkZxYQnZupMZ1nJcq4LzKg9ZiiXgD4FfuPRo2MU9hUhzj~XTdV4yyYiXTEjWMMnASKyJsUwDRfTiDH~kJQ9PROFPjmbmvS05MVGbnbktXDDJB3oulBGDoMFnqm7w8HXT2HAFLlvlubQp2zCn3qX97RD-TcVFx321aLApw~V6MMZDKuCg1Zvq6MoaxWloWkl8GXpHVoC5J71tWR9ZcQQYuMYmTIbpryHpWS4hQ__&Key-Pair-Id=K204OQ5RWQVDLD
00002.wav,"Chào bạn, cảm ơn bạn đã nhấn nghe Giang ơi Radio, nơi mà mình tản mạn về chuyện làm người lớn và chủ đề của ngày hôm nay là Người Lớn Kết Bạn. Đối với những ai đã có người yêu hoặc có chồng của vợ rồi, thì thường là chúng mình sẽ dành thời gian với người yêu hoặc chồng hoặc vợ của chúng mình là nhiều nhất, sau đó mới đến bạn bè.",1,26.64,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/332/audio/audio.wav?Expires=1779855900&Signature=nIaF~BdI6r0rhnGcP1c8scPByNVuYSWzNsdCHXMBsSOrG-s5WBse-0sqK4arpKfnQ5QO5G~8oye9a2Bm7PSdcRPD-vNbybylKsRnAHi4nAwidDGcYv6bdcK37hd5gUuprRiFnlPp395jYHTt4fz1luy42z0DeZsN~cBUIRJN-KcFpQoXyvceVTBboH0fSKixcic5C0B5BQ4igayZ9A1QeFHbuIbfDsJoxalrMvvK0rT~57TKY6F3KIZOMCn6rFzDNvorjxQ-CzuxIlJmtWXn~hHQAgmEi36zumPURx-yRPcIy9Lv9laHHpPkM09uk84hGQtOTcIFMw2BOkGsznqMuQ__&Key-Pair-Id=K204OQ5RWQVDLD
00003.wav,"Đối với những cặp đôi đã có con cái như nhà mình thì sự tranh lệch thời gian đó nó càng áp đạo hơn nữa. Phải nói thật là việc gặp gỡ bạn bè đối với mình không phải việc dễ có. Trong một ngày 24 tiếng đồng hồ thì đối với thứ tự ưu tiên của mình nha, những cái chuyện gia đình, con cái là hàng đầu, sau đó đến công việc, rồi sau đó mới đến bạn bè. Thì rõ ràng là những mối quan hệ gia đình và yêu đương thường là sẽ được đặt lên trên mối quan hệ bạn bè.",1,27.44,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/333/audio/audio.wav?Expires=1779855900&Signature=l-wGxM-hO7Am2UBjcyC678uZbHXEnBqUYniMu3RHoAMHIq5azOH5A--Hvpa16sdh8dEFLU6PlBTolPc0sftruTBx-S4d83Txosq0w3pqtYpj3RSIFunQrkBV-Jq5Hs9-BK1eQBkrEyXJjU6C5kOXwIoZjBTkNaCY4RZkY45tM6JZeQRXyeKJbIhg8cK4ZsMuill4xhH9qH8ElaelFk1lN~CSKCOdtFjwzNjccpcejwTTd7r7RXX5u9jVP009Uoqm8pm3YytBO-HZ66y-hU3GpmyGXXg26heehCaTqLy10ENvsta1HmdCjMEz4r9t2p1GJ97dE1oV7pS1K7FQ5gNTrQ__&Key-Pair-Id=K204OQ5RWQVDLD
00004.wav,"Nhưng mà hôm trước suy nghĩ một hồi tự nhiên mình thấy có một cái nghịch lý khá là thú vị nhá. Giờ đặt trường hợp mình là một cô độc thân đi, bây giờ bắt mình chọn giữa người yêu với bạn bè, trong hai chỉ được chọn một thôi. Tức là hoặc có người yêu nhưng mà không có bạn, hoặc là có bạn nhưng mà không có người yêu. Thì chưa chắc gì mình đã chọn người yêu. Tất nhiên là trong thực tế đời sống thì là hầu hết các bạn sẽ hơi bỏ bê bạn bè khi mà có người yêu đấy. Chứ còn những cái người mà quên người yêu để đi với bạn bè thì ít hơn.",1,28.8,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/334/audio/audio.wav?Expires=1779855900&Signature=NkGIz9afqgs27Gcuw0FkHnwyncCGdebrCIektce2alQlPTpuNxRcElJ7VrUs11-DIOyWkJgryl9HJzXfkauqPhBnJccfvArYMs~WhUy~e0ojc96lJTuhgVZ8mR0uXPfUXcPEFuQ9KOCVKkKNp1ERoxtqeM3ggOMg5RcaTBqPQNMrPzHjkhFsVslAOS~YTpqDKAoPtRZKUlg4UbsiJUKpDDWyodcAEpd~8g7k3mP0IhMIYnbEBBaTChERhQ2t~f~DRJnR0jscxqrG7IDmlgGyU9aK4jp2TV0Y-50ipmokc14KASWCSz6QhDMo27fDju-RpKXjM3bpl2jy5-HOYeFH-g__&Key-Pair-Id=K204OQ5RWQVDLD
00005.wav,"Cũng có, thế nhưng mà ít hơn. Thế nhưng bây giờ giả sử cho mình quay lại là một cô sinh viên độc thân chẳng hạn đi. Giờ có bạn bè xung quanh, có cuộc sống riêng mình, có sợ thích, có những mối quan tâm, chưa có người yêu. Thế nhưng mà có sự tự do để mà hẹn hò tán tình với người này người kia. Thế cũng hợp lý chứ. Thế nhưng mà bây giờ ngược lại đi. Bây giờ chỉ có duy nhất một người bạn trên trần đời này và người đó chính là người yêu của mình. Ngoài ra bạn bè không có ai.",1,26.94,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/335/audio/audio.wav?Expires=1779855900&Signature=CwHGch6QeqnCK9~aMMGMMj~6BW0OLSqrrGy~DoeXXfPM8q~P5kiF~AmleaBQ4SBpC82OKHuMpU6JDlvt-FtTNEpf8OVUPp7HtvdEaHJmti3fXs0ucri4~iOZAfZv2tM~QiA9Bo-H0nFMjo8I6jOc65YuFMmICiphHIXYiJb9gDhYvqlG5HwlPALHhfr7rt7-T3mosgUPFaa5wWeWdq~~DnSsiCEUaZnx6DZlysspCVh4cnPT3q13t1G63NwaEjZjnzzpNm2-zd5Y24wizWL-uItJkZ97LnU1LQY~U1hXV1usSlMPLUZw0KN0gCj8YyNbfMlm-pSbzO0s1JUmbA2KAQ__&Key-Pair-Id=K204OQ5RWQVDLD
00006.wav,"Thì nói chung là cảm giác nó cũng không tối yêu lắm đâu. Thường thì chúng mình sẽ có những người bạn khác nhau cho những cái câu chuyện và mục đích khác nhau. Ví dụ bạn ở trường thì là đi học chung. Bạn đồng nghiệp, bạn tập tành, bạn du lịch. Bạn xem phim, bạn ăn uống, bạn đánh bài, bạn sáng tạo, bạn mua sắm v .v. Có những người bạn mà học thì dở ẹc. Nhưng mà đi chơi chung thì rất là vui, không sao cả. Mình chỉ đi chơi với nó thôi. Mình không có học bài cùng với nó.",1,29.34,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/336/audio/audio.wav?Expires=1779855900&Signature=lwT3aElB~YjlH6D324ZNjRctu-2GidEg0WJ6yC7tK59FcS5gTX2tGPNGxnxWrB2PtpkkxMBZ9HeorTp7Vb1re2hirFrRNTQzhvv7pcDs66bh2LrPCSRjIANoRUQFIxHFerLGJNy-DIrQ7-SKaEDxKPEQiFRh2Xv8Rp3gmUpWR7YGATvjhpJq948MhfClsJHskZV4nd4bA8J-YRXZ5t7664PLuV-vqj2ThBu~fmF~RrRRUGVZysjRnALUrKeDXOoo8yAakH7poYT7gWE2nPc2h5f7ImztcjGWdrEspU5u7HG7v~bNh0mqwMZz18B3iNtTV5MW2wCllqrMDFik1V9V6w__&Key-Pair-Id=K204OQ5RWQVDLD
00007.wav,"Thì cốt yếu là chúng mình có thể có nhiều bạn bè. Nhưng mà lại chỉ có đúng một người yêu mà thôi. Nếu mà bạn ít tuổi hơn mình nhiều, thì có thể là cái tiêu chuẩn của bạn cũng đơn giản. Chỉ cần vui với nhau là được. Thế nhưng trời ơi, đến cái tuổi của mình rồi, thì cái người mà mình lấy làm bạn đời đấy phải hỏa mãn rất là nhiều vai trò khác nhau. Anh ta phải là một người biết lắng nghe những lúc mình tâm sự. Phải là kỹ sư điện máy trong vai trò chủ nhà cùng với mình. Phải là người cha đầy trách nhiệm để nuôi con mình.",1,29.9,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/337/audio/audio.wav?Expires=1779855900&Signature=24tBoW2rvwrSQi1C8ZPlszr8mUnjtMYLpacdUjmfVGfspYL4hNQUhVwCYD3I1AkrezZP6kvFiH1HmGKReTOgSq0ckPj-0q5NMJiZKygxqLNutswd42BcalIqYKFF4szSYm8KmC11TRbueQYNuv50O-pOic-VLGoyn7ykTYiSmjB-K1BEMDl9owTeiDjxyNtobhnYjCAJ~z4ksNCwMS8jHtZlA42svYDrZrx1gEgGF1PVNLwH7zpPNQ8Z552heagFhT-CYyrt0iwlrEoOdN7~GaeWgI1oEziLth~B~BU1SEPaIGqIUV9ar5ybj258bmd8jblGQf54KznzPIBtNGpsHA__&Key-Pair-Id=K204OQ5RWQVDLD
00008.wav,"Phải là người bạn vui tính để chơi với mình. Phải là người có sự nghiệp để kiếm tiền nuôi gia đình cùng với mình. Đã thấy lại còn phải là một người đàn ông có ngoại hình hấp dẫn trong mắt mình. Quá là nhiều những vai trò mà một người phải làm và là còn làm cho tốt nữa. Trong khi đó, bạn bè thì bạn có thể chia ra. Đứa nào học giỏi thì mình học chung. Đứa nào khỏe thì mình đi tập trung. Đứa nào vui thì mình đi chơi chung. Đứa nào mê ăn thì mình đi ăn chung. Đứa nào già dặn tốt bụng thì mình tâm sự chung.",1,28.0,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/338/audio/audio.wav?Expires=1779855900&Signature=tuudGwjs44Ss8AAD-uL9~rV3NsoahFfqovQYuedB482zp5ESjxyhoI2C9Mu3BPWOQc31-S3JJS1lGkM5pPpdM0WdkVCVSsN49TrA53qSpe49HIhOHrY5Z0HDywnb1~w0E7Wyu8DjU1uXe5TPipTuYPWFibh5RO3HuL1ewHoV8nYf1cy8Q8ewXF9YTejIaYnfOiQO0t3FJs9pWq6CYaZgrBlzQSa2jV4rDqlDyO8ewfIbJvfeH3NZdqRG9VpHV9PKY7Tsra8OWkPie1MiMrTUdnSEWfQC8drFejQXqxXruhZjPsu6pGJydFTtlMB56BSr6n2U9BVTCtBsC4v~qNKNfQ__&Key-Pair-Id=K204OQ5RWQVDLD
00009.wav,"Cái đứa mà bạn đi ăn đi chơi hợp, thế nhưng mà lại không thể chia sẻ những quan điểm cuộc sống với nhau. Hoặc là cái đứa mà bạn có thể đi tập trung thì rất là hợp. Thế nhưng mà nếu mà phải học bài chung với nó thì rất là kinh khủng. Kiểu thế. Thì bình thường chả vấn đề gì. Thế nhưng mà tự nhiên người yêu của bạn thì sẽ phải thỏa mãn tất cả những vai trò khác nhau ấy cùng một lúc. Mặc dù anh ta cô ta cũng chỉ là một con người đang loay hoay sống cuộc sống này với hàng tá những áp lực không tên.",1,25.36,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/339/audio/audio.wav?Expires=1779855900&Signature=zSyWlCrZAuOV0SNeulSR01YF8ll82Pvw9cCWsH1os8zWeB-uks6VqfED7QPoZdVUukwDg5FWF80WNDycYPPRiAWNwujAVKZme5~3hdrJ1sOML8AwsJ7gkKJZfgOk89FFD1p5-O~FTV~e~4CIy4dLIhpUQm9C1vt9ADsbPKQbWi~07OGOUieg4Q0Ox1PeilEY0AFwn~XkjSkh5PUelgRGefAuHQfgSitbUbDjMQTcejcv-0LAx78I5SVMyvWu4Ny8BqnWlMaQhg2cioJxq6nVXqe5OquXkoCFPZnmqCrkSJTcfv1WYcij-j~xd7IFMh0YWXG7gB7aetYdNlOZJWvYkg__&Key-Pair-Id=K204OQ5RWQVDLD
00010.wav,"Bên cạnh việc phải yêu bạn, quan tâm đến bạn, hiểu bạn và chăm sóc cho bạn nữa. Những hôm nào vui vẻ, cơm lành, canh ngọt không sao. Mà đụng hôm nào cãi nhau với người yêu đi. Ủa? Giờ nói chuyện với ai bây giờ? Nếu mà có một đứa bạn đấy, thì còn có thể có người để mình kể lệ, mình phàn nàn về thằng người yêu quá đáng khó chịu của mình. Chứ còn nếu mà cái thằng người yêu quá đáng khó chịu ấy lại cũng chính là đứa bạn duy nhất mà mình có. Thì bây giờ chẳng ai bênh mình cả. Đó, các bạn thấy không?",1,29.28,https://datasets-server.huggingface.co/cached-assets/cosrigel/vn_tts_medium_clean/--/6f33b707b6279d66adaacce854fa0d4c85f441d8/--/default/train/340/audio/audio.wav?Expires=1779855900&Signature=AT77-CfdreuLx1DPsKEX5QWt86UFkme2lSJCL1YTysoHSJwz3oKPXPgatJmrZYneMnwjKTCmmEcP5WBFzAM6kup0FnA3QzMBE35SSO0HeoOdMrC7nsGSJB7o88nxBqsmlPzlykf0xaW8jlJcSk7CmDCuVpjFFqVV27VIDDgIR2XxRF4pzM0ls98ROBegyGtFO4MjHIplk2QuBrqUF2CfQxf9trgSWDX1KHTYHpWIGlqgH3xdXaSt42RlHPagpwcAf11bA5kLzuQyOkvSfApwBJUWmW890ouD0zQttEqeGJycyoDQP-uheI5NONZxzBL3vFrWtRoylvkaDzjAnAkpcw__&Key-Pair-Id=K204OQ5RWQVDLD
